benchmark_id,split,dataset_id,system_id,accuracy,precision,recall,f1,roc_auc,false_positive_rate,false_negative_rate,balanced_accuracy,calibration_error,rows,positives,predicted_positives,true_positive,false_positive,true_negative,false_negative,trace_rows
audit,audit_benchmark,adult_income,single_model,0.855036855036855,0.7228682170542635,0.6386986301369864,0.6781818181818182,0.9082245233496026,0.07696447793326157,0.3613013698630137,0.7808670761018623,0.02191499455998672,2442,584,516,373,143,1715,211,0
audit,audit_benchmark,adult_income,mean_ensemble,0.8566748566748567,0.7330677290836654,0.6301369863013698,0.6777163904235727,0.9081812082516184,0.0721205597416577,0.3698630136986301,0.7790082132798561,0.030026326179701118,2442,584,502,368,134,1724,216,0
audit,audit_benchmark,adult_income,static_weighted_ensemble,0.855036855036855,0.7254901960784313,0.6335616438356164,0.6764168190127972,0.9090023519176607,0.07534983853606028,0.3664383561643836,0.7791059026497781,0.018846106238185407,2442,584,510,370,140,1718,214,0
audit,audit_benchmark,adult_income,veto_mavs,0.8566748566748567,0.7330677290836654,0.6301369863013698,0.6777163904235727,0.9081812082516184,0.0721205597416577,0.3698630136986301,0.7790082132798561,0.030026326179701118,2442,584,502,368,134,1724,216,2442
audit,audit_benchmark,adult_income,pure_mavs_gc,0.8533988533988534,0.7603686635944701,0.565068493150685,0.6483300589390963,0.9081996402082073,0.05597416576964478,0.4349315068493151,0.7545471636905201,0.02957768022238684,2442,584,434,330,104,1754,254,2442
audit,audit_benchmark,credit_card_fraud,single_model,0.9992275280898877,0.8888888888888888,0.64,0.7441860465116279,0.9568357368976433,0.00014069644741470278,0.36,0.8199296517762926,0.0004812995747049799,14240,25,18,16,2,14213,9,0
audit,audit_benchmark,credit_card_fraud,mean_ensemble,0.9992275280898877,0.8888888888888888,0.64,0.7441860465116279,0.9662609919099543,0.00014069644741470278,0.36,0.8199296517762926,0.000415160787533483,14240,25,18,16,2,14213,9,0
audit,audit_benchmark,credit_card_fraud,static_weighted_ensemble,0.9992275280898877,0.8888888888888888,0.64,0.7441860465116279,0.9721139641224059,0.00014069644741470278,0.36,0.8199296517762926,0.0004476200745184256,14240,25,18,16,2,14213,9,0
audit,audit_benchmark,credit_card_fraud,veto_mavs,0.9992275280898877,0.8888888888888888,0.64,0.7441860465116279,0.9662609919099543,0.00014069644741470278,0.36,0.8199296517762926,0.000415160787533483,14240,25,18,16,2,14213,9,14240
audit,audit_benchmark,credit_card_fraud,pure_mavs_gc,0.9991573033707866,0.8823529411764706,0.6,0.7142857142857143,0.9662609919099543,0.00014069644741470278,0.4,0.7999296517762926,0.0004143127100961653,14240,25,17,15,2,14213,10,14240
audit,audit_benchmark,bank_marketing,single_model,0.9075221238938053,0.6244343891402715,0.5227272727272727,0.5690721649484536,0.9234007788303881,0.04158316633266533,0.4772727272727273,0.7405720531973037,0.018955810773755348,2260,264,221,138,83,1913,126,0
audit,audit_benchmark,bank_marketing,mean_ensemble,0.9070796460176991,0.6421052631578947,0.4621212121212121,0.5374449339207048,0.9211472186797839,0.03406813627254509,0.5378787878787878,0.7140265379243335,0.020426020301839896,2260,264,190,122,68,1928,142,0
audit,audit_benchmark,bank_marketing,static_weighted_ensemble,0.9092920353982301,0.6384976525821596,0.5151515151515151,0.5702306079664571,0.9224680421448959,0.03857715430861723,0.48484848484848486,0.738287180421449,0.017250636966067708,2260,264,213,136,77,1919,128,0
audit,audit_benchmark,bank_marketing,veto_mavs,0.9070796460176991,0.6421052631578947,0.4621212121212121,0.5374449339207048,0.9211472186797839,0.03406813627254509,0.5378787878787878,0.7140265379243335,0.020426020301839896,2260,264,190,122,68,1928,142,2260
audit,audit_benchmark,bank_marketing,pure_mavs_gc,0.9088495575221239,0.704225352112676,0.3787878787878788,0.4926108374384236,0.9211680937632842,0.021042084168336674,0.6212121212121212,0.6788728973097711,0.020400271354800666,2260,264,142,100,42,1954,164,2260
