benchmark_id,split,dataset_id,system_id,metric,replay_value,chapter10a_value,absolute_delta,tolerance,status
locked,locked_benchmark,adult_income,single_model,recall,0.630453378956373,0.630453378956373,0.0,1e-12,pass
locked,locked_benchmark,adult_income,single_model,f1,0.6881419234360411,0.6881419234360411,0.0,1e-12,pass
locked,locked_benchmark,adult_income,single_model,roc_auc,0.9130767114108641,0.9130767114108641,0.0,1e-12,pass
locked,locked_benchmark,adult_income,single_model,false_positive_rate,0.06352624495289368,0.06352624495289368,0.0,1e-12,pass
locked,locked_benchmark,adult_income,single_model,false_negative_rate,0.369546621043627,0.369546621043627,0.0,1e-12,pass
locked,locked_benchmark,adult_income,single_model,balanced_accuracy,0.7834635670017396,0.7834635670017396,0.0,1e-12,pass
locked,locked_benchmark,adult_income,single_model,calibration_error,0.012380528968550325,0.012380528968550325,0.0,1e-12,pass
locked,locked_benchmark,adult_income,mean_ensemble,accuracy,0.8634316134316135,0.8634316134316135,0.0,1e-12,pass
locked,locked_benchmark,adult_income,mean_ensemble,precision,0.7592975206611571,0.7592975206611571,0.0,1e-12,pass
locked,locked_benchmark,adult_income,mean_ensemble,recall,0.6287425149700598,0.6287425149700598,0.0,1e-12,pass
locked,locked_benchmark,adult_income,mean_ensemble,f1,0.6878802058961161,0.6878802058961161,0.0,1e-12,pass
locked,locked_benchmark,adult_income,mean_ensemble,roc_auc,0.913570628402875,0.913570628402875,0.0,1e-12,pass
locked,locked_benchmark,adult_income,mean_ensemble,false_positive_rate,0.06271870794078062,0.06271870794078062,0.0,1e-12,pass
locked,locked_benchmark,adult_income,mean_ensemble,false_negative_rate,0.3712574850299401,0.3712574850299401,0.0,1e-12,pass
locked,locked_benchmark,adult_income,mean_ensemble,balanced_accuracy,0.7830119035146397,0.7830119035146397,0.0,1e-12,pass
locked,locked_benchmark,adult_income,mean_ensemble,calibration_error,0.013903880659475142,0.013903880659475149,6.938893903907228e-18,1e-12,pass
locked,locked_benchmark,adult_income,static_weighted_ensemble,accuracy,0.8632268632268633,0.8632268632268633,0.0,1e-12,pass
locked,locked_benchmark,adult_income,static_weighted_ensemble,precision,0.7617554858934169,0.7617554858934169,0.0,1e-12,pass
locked,locked_benchmark,adult_income,static_weighted_ensemble,recall,0.6236099230111206,0.6236099230111206,0.0,1e-12,pass
locked,locked_benchmark,adult_income,static_weighted_ensemble,f1,0.6857949200376293,0.6857949200376293,0.0,1e-12,pass
locked,locked_benchmark,adult_income,static_weighted_ensemble,roc_auc,0.9135872074347748,0.9135872074347748,0.0,1e-12,pass
