split_label,dataset_id,system_id,corruption_family,run_count,evaluated_rows,accuracy_mean,accuracy_std,error_rate_mean,error_rate_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,observed_label_accuracy_mean,observed_label_accuracy_std,observed_label_f1_mean,observed_label_f1_std,unsafe_acceptance_rate_mean,unsafe_acceptance_rate_std,false_positive_rate_mean,false_positive_rate_std,false_negative_rate_mean,false_negative_rate_std,technical_failure_rate_mean,technical_failure_rate_std,rejection_rate_mean,rejection_rate_std,high_corruption_unsafe_acceptance_rate_mean,high_corruption_unsafe_acceptance_rate_std,summary_hash
audit,adult_income,mean_ensemble,adversarial_confidence_inflation,40,97680,0.8457923832923833,0.011524685891228492,0.1542076167076167,0.011524685891228492,0.7073329202103914,0.02781967806851905,0.6057791095890411,0.024824301381576028,0.652626017721327,0.02621730789714573,0.8457923832923833,0.011524685891228492,0.652626017721327,0.02621730789714573,0.07876749192680302,0.007383089576269371,0.07876749192680302,0.007383089576269371,0.3942208904109589,0.02482430138157604,0.0,0.0,0.7951986076986077,0.0008839306088486796,0.0898815931108719,0.002206017387720042,276601f078f0d170c8efb8e4e2223932df29aa160b44f2b2a5b0e9d2b387deab
audit,adult_income,mean_ensemble,confidence_distortion,40,97680,0.8563165438165439,0.00013542953066464133,0.14368345618345618,0.00013542953066464133,0.7317925118611043,0.00048198680549757695,0.6301369863013698,0.0,0.6771708505508767,0.00020619469048906847,0.8563165438165439,0.00013542953066464133,0.6771708505508767,0.00020619469048906847,0.07259149623250807,0.0001779972625850784,0.07259149623250807,0.0001779972625850784,0.3698630136986301,0.0,0.0,0.0,0.7940724815724816,0.00013542953066464133,0.07265877287405813,0.0,ab56275e6c99f58ef042f8f8f4e77a726ae7465231dbc9fe58257f5f128b3cf6
audit,adult_income,mean_ensemble,distribution_shift,40,72700,0.867723838842635,0.013091838988514432,0.132276161157365,0.013091838988514432,0.773484437942178,0.04281672829634351,0.690842185691261,0.05239238718526224,0.7297305997788085,0.0480432780265986,0.867723838842635,0.013091838988514432,0.7297305997788085,0.0480432780265986,0.07062754646737837,0.005666815628805564,0.07062754646737837,0.005666815628805564,0.30915781430873907,0.052392387185262235,0.0,0.0,0.7651598916929793,0.024541816245402,0.06239698516586389,0.0021963162695428154,35b600c061029c1ff0a388102548e7bc3253190768fabb744649b2231972fd9b
audit,adult_income,mean_ensemble,feature_noise,40,97680,0.8428439803439803,0.016362984465145624,0.15715601965601966,0.016362984465145624,0.7172832686102276,0.023904242319101973,0.5618578767123288,0.07652805838444411,0.6282389671344173,0.058120112624511375,0.8428439803439803,0.016362984465145624,0.6282389671344173,0.058120112624511375,0.06883745963401507,0.003972946293640598,0.06883745963401507,0.003972946293640598,0.4381421232876712,0.07652805838444413,0.0,0.0,0.8132575757575757,0.02050417406448578,0.0647470398277718,0.004258691121033016,39504667ce376a1ec957a40e137e1f682b5a74c998399892203d95fc27a787fb
audit,adult_income,mean_ensemble,label_noise,40,97680,0.8566748566748567,0.0,0.14332514332514334,0.0,0.7330677290836654,0.0,0.6301369863013698,0.0,0.6777163904235727,0.0,0.5751433251433251,0.24873794443800315,0.4029590931529916,0.1993493327722345,0.0721205597416577,0.0,0.0721205597416577,0.0,0.3698630136986301,0.0,0.0,0.0,0.7944307944307945,0.0,0.0721205597416577,0.0,f686591cfbbcb5fbdfe2514e6d1915625ecc7549ef451c81424a47f597aae80b
audit,adult_income,mean_ensemble,missing_features,40,97680,0.8156122031122032,0.03532685621047937,0.18438779688779688,0.03532685621047937,0.6704803904265283,0.2565046457210932,0.34713184931506846,0.23513210423702288,0.42008233844950477,0.2476118370901236,0.8156122031122032,0.03532685621047937,0.42008233844950477,0.2476118370901236,0.03713670613562971,0.027728686258462924,0.03713670613562971,0.027728686258462924,0.6528681506849315,0.23513210423702288,0.0,0.0,0.8887285012285012,0.0772409387443787,0.0017222820236813777,0.0018921846965820179,df9af4a87bbe5b860f1e0c895a871d8cf82cf549d469e0ab5c9cddfe4e7c8f22
audit,adult_income,mean_ensemble,random_feature_deletion,40,97680,0.818980343980344,0.03789549070614299,0.18101965601965603,0.03789549070614299,0.60485489320533,0.3367166612587077,0.36549657534246577,0.254105478380332,0.42915986091480945,0.2685607866155356,0.818980343980344,0.03789549070614299,0.42915986091480945,0.2685607866155356,0.038482238966630784,0.03160484485655282,0.038482238966630784,0.03160484485655282,0.6345034246575343,0.254105478380332,0.0,0.0,0.8833128583128583,0.08429782264752202,0.002798708288482239,0.008218287189074872,f501c27aeafeb51d561093001f37336f9880bed38813e346fac53efbca77aef5
audit,adult_income,mean_ensemble,specialist_failure,40,97680,0.6996826371826372,0.26589326533787716,0.3003173628173628,0.26589326533787716,0.6039986146886247,0.21069095013829386,0.7157534246575342,0.16419616887361174,0.5984119077206859,0.12269076953453481,0.6996826371826372,0.26589326533787716,0.5984119077206859,0.12269076953453481,0.3053686759956943,0.4010495921255911,0.3053686759956943,0.4010495921255911,0.2842465753424658,0.16419616887361174,0.0,0.0,0.596488533988534,0.34439014491115677,1.0,0.0,2d02961d84138ea576531af5a9998aa8f73dd5f1eb76682f63368846038a8232
audit,adult_income,mean_ensemble,synthetic_sensor_failure,40,97680,0.7967854217854218,0.03724076403260275,0.20321457821457822,0.03724076403260275,0.34299809495641886,0.3435359973040928,0.27589897260273977,0.27774642627743135,0.3056838386302019,0.30688157513297654,0.7967854217854218,0.03724076403260275,0.3056838386302019,0.30688157513297654,0.03949138858988159,0.03959063160376458,0.03949138858988159,0.03959063160376458,0.7241010273972602,0.27774642627743135,0.0,0.0,0.9039721539721539,0.09618618951800907,0.0,0.0,151420154ec0a6a635d5d75d4d9b452c647c722b203dc449d5a67345b8169ca0
audit,adult_income,pure_mavs_gc,adversarial_confidence_inflation,40,97680,0.845505733005733,0.008537365409143318,0.154494266994267,0.008537365409143318,0.7319036462756616,0.030519183396076538,0.5603167808219178,0.004969995530980863,0.6345419307074932,0.01466963802207814,0.845505733005733,0.008537365409143318,0.6345419307074932,0.01466963802207814,0.06485468245425188,0.00972439579401878,0.06485468245425188,0.00972439579401878,0.4396832191780822,0.004969995530980845,0.0,0.0,0.8166564291564292,0.006278849561540558,0.07960172228202368,0.002801294656549646,3c343d317268019558a8d1f1d87a2eee66433699c4fbf689d268601437e64f38
audit,adult_income,pure_mavs_gc,confidence_distortion,40,97680,0.848996723996724,0.00287927131663088,0.151003276003276,0.00287927131663088,0.7970949978380957,0.03948200004572166,0.5004280821917808,0.051489230605649895,0.611524365713567,0.02915767630021276,0.848996723996724,0.00287927131663088,0.611524365713567,0.02915767630021276,0.041442411194833155,0.012945116760824212,0.041442411194833155,0.012945116760824212,0.4995719178082192,0.051489230605649895,0.0,0.0,0.8487919737919738,0.022112785132348628,0.0228740581270183,0.004574811625403659,c0f119e55b387472823d8fbbf8ada1763d0bf9599f9fa5c38d4cc1ae46ac119a
audit,adult_income,pure_mavs_gc,distribution_shift,40,72700,0.863518741642389,0.012497802269760102,0.13648125835761107,0.012497802269760102,0.7970178761337906,0.040011960051016524,0.632902981673915,0.06151009365919835,0.7051386075986559,0.0534167548617999,0.863518741642389,0.012497802269760102,0.7051386075986559,0.0534167548617999,0.0560150700589328,0.0037850406760805196,0.0560150700589328,0.0037850406760805196,0.36709701832608505,0.06151009365919838,0.0,0.0,0.7909961981891577,0.02753584523159567,0.051399401513817985,0.0012321774335504292,15cf4078131ea9ef63fd39a4e896670fea518d9bfc5b529eb118f32252f7b347
audit,adult_income,pure_mavs_gc,feature_noise,40,97680,0.8401822276822277,0.01551757684921313,0.15981777231777233,0.01551757684921313,0.7623580948736521,0.015205338627131557,0.48120719178082194,0.08945380471905887,0.5851495123259107,0.07232344570152577,0.8401822276822277,0.01551757684921313,0.5851495123259107,0.07232344570152577,0.04698600645855759,0.00849303051507184,0.04698600645855759,0.00849303051507184,0.5187928082191781,0.08945380471905888,0.0,0.0,0.8491707616707617,0.027532072244980756,0.035252960172228204,0.0031128081250637787,5e25afd5ef2d193a8b12e158494927dd7db02baf453f9c90a9cf7aeeefeb1e86
audit,adult_income,pure_mavs_gc,label_noise,40,97680,0.8533988533988534,0.0,0.14660114660114665,0.0,0.7603686635944701,0.0,0.565068493150685,0.0,0.6483300589390963,0.0,0.5742219492219492,0.24624192524884495,0.37399360178248475,0.1968970935419493,0.05597416576964478,0.0,0.05597416576964478,0.0,0.4349315068493151,0.0,0.0,0.0,0.8222768222768223,0.0,0.05597416576964478,0.0,d7b770e6cb713d7667127abae677f318500c7d481d31d288d0562853564ad70c
audit,adult_income,pure_mavs_gc,missing_features,40,97680,0.8120597870597871,0.03452976681676659,0.18794021294021293,0.03452976681676659,0.706319251791092,0.2715686738075732,0.2975171232876712,0.21057284254782577,0.3834543641364495,0.23965902355667032,0.8120597870597871,0.03452976681676659,0.3834543641364495,0.23965902355667032,0.02621097954790097,0.021135130139705464,0.02621097954790097,0.021135130139705464,0.7024828767123288,0.21057284254782577,0.0,0.0,0.908906633906634,0.06630802741479705,0.0007534983853606028,0.0009982366518294622,7d62a6b369fc074a5fc5f90b3528521fefef7f5235ddd4a56a2181d49591b471
audit,adult_income,pure_mavs_gc,random_feature_deletion,40,97680,0.8148136773136773,0.037435201475176545,0.18518632268632268,0.037435201475176545,0.6137020466415192,0.3623102442847968,0.3122431506849315,0.23172514114193354,0.38904215927784147,0.2653242655052612,0.8148136773136773,0.037435201475176545,0.38904215927784147,0.2653242655052612,0.027220129171151776,0.0248611032080254,0.027220129171151776,0.0248611032080254,0.6877568493150685,0.23172514114193352,0.0,0.0,0.9046171171171171,0.07386622301012108,0.00021528525296017224,0.0004932804838488525,9bc84892949f66e5e439388571c9760448780533c102c429cabeb8891ad55031
audit,adult_income,pure_mavs_gc,specialist_failure,40,97680,0.8273955773955773,0.038703204990829285,0.17260442260442263,0.038703204990829285,0.5917635199240987,0.3422685300818885,0.3824914383561644,0.22588293416162167,0.4625247395748223,0.2687640439571308,0.8273955773955773,0.038703204990829285,0.4625247395748223,0.2687640439571308,0.03276372443487621,0.020899442947625354,0.03276372443487621,0.020899442947625354,0.6175085616438356,0.22588293416162164,0.0,0.0,0.8835995085995085,0.06959873284727791,0.0,0.0,50edd84724a2df68ec7f3bcfc01dc3601393ee557bd652adbba30f897ffcb732
