split_label,dataset_id,system_id,corruption_family,corruption_level,seed_role,seed_count,accuracy_mean,accuracy_variance,variance_hash
audit,breast_cancer_wisconsin,veto_mavs,feature_noise,0.1,shadow,2,0.9655172413793104,0.0,6e6b5e85d2fcf88b3b551f5d8b0bc40a8f5d6188a5ab7842e260bda694db62ed
audit,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,0.1,shadow,2,0.9655172413793104,0.0,c1ce452423f98db7e31038dd72a37fccfcff995f5e72877d78fc1dc06208f2c9
audit,breast_cancer_wisconsin,single_model,feature_noise,0.2,audit,3,0.9655172413793104,0.0,e664cbe1098fb176294f33cdda97551aa099f4688160d9c5e2dff9e407077dd7
audit,breast_cancer_wisconsin,mean_ensemble,feature_noise,0.2,audit,3,0.9655172413793104,0.0,16e0908db3132a27a50a15e07c68e862cb6fe7e0349ebee32375d8c42cd36194
audit,breast_cancer_wisconsin,static_weighted_ensemble,feature_noise,0.2,audit,3,0.9655172413793104,0.0,03ee5aabbd8c1b7c25235ec73cc8acdfeaa6ff0fef68e9f1e12c25f5aac666a1
audit,breast_cancer_wisconsin,veto_mavs,feature_noise,0.2,audit,3,0.9655172413793104,0.0,c72612628f926bc78f7c8f750c3ec68518dc0997f5530b708dd72972c5e98e34
audit,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,0.2,audit,3,0.9540229885057472,0.00026423569824283365,a20c9a61187929fa1bde9bd5589b4c4134bb4a6d276d299e4ad8594e76d562c3
audit,breast_cancer_wisconsin,single_model,feature_noise,0.2,shadow,2,0.9655172413793104,0.0,209a95d95a0fadf1adf72fb40cce9a909d53ab0024ca225af6ffbe8058bda364
audit,breast_cancer_wisconsin,mean_ensemble,feature_noise,0.2,shadow,2,0.9655172413793104,0.0,8449bef7ab0faa57253e320e0fcb5ebaa4812c6e5aefff45f4ba5cf6c94e833e
audit,breast_cancer_wisconsin,static_weighted_ensemble,feature_noise,0.2,shadow,2,0.9655172413793104,0.0,871b5962b6e146c53c6008e288b81969212cf1ddf6a8bc99fbf59380d20d0fd9
audit,breast_cancer_wisconsin,veto_mavs,feature_noise,0.2,shadow,2,0.9655172413793104,0.0,0511d09cb8d92e59670713b5fce5382e3fa8cabc89c336f63846ae5e306df104
audit,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,0.2,shadow,2,0.9655172413793104,0.0,64c4807e35da35238f36c835456c84baf851038b77ac03063c03180382d6be6c
audit,breast_cancer_wisconsin,single_model,feature_noise,0.4,audit,3,0.9310344827586207,0.0,d93ae0d578970bb057c0526b9d7ffd3e29ecc7ea74cbb8b2ab717f350dfc5a8e
audit,breast_cancer_wisconsin,mean_ensemble,feature_noise,0.4,audit,3,0.9310344827586207,0.0,042d8ce91f470dd092a606fbb59e11b949b455b0243da16f7c55864d695303e8
audit,breast_cancer_wisconsin,static_weighted_ensemble,feature_noise,0.4,audit,3,0.9310344827586207,0.0007927070947284983,c888a0d81ebfc7a38c29f7ea07388b7142942005072dde207396e8feea115afa
audit,breast_cancer_wisconsin,veto_mavs,feature_noise,0.4,audit,3,0.9310344827586207,0.0,0e956d27471a23671530df7b702c868db2fc9a14d66b825d3f3607e7beb11a09
audit,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,0.4,audit,3,0.9540229885057472,0.00026423569824283365,0105ce28fd82a819240dde2923acdc806879a6b4f2c96e0530f7723483ac0c74
audit,breast_cancer_wisconsin,single_model,feature_noise,0.4,shadow,2,0.9482758620689655,0.00029726516052318785,d87119036d610f0ff6e2914b7e908975e1cd35e29836087762460476e8cd82d6
