split_label,dataset_id,corruption_family,corruption_level,seed_role,governance_system_id,baseline_system_id,metric,bootstrap_unit,seed_count,delta_mean,ci_lower,ci_upper,iterations,bootstrap_seed,bootstrap_hash
audit,breast_cancer_wisconsin,feature_noise,0.0,shadow,veto_mavs,single_model,unsafe_acceptance_rate,seed_level_paired_by_corruption_seed,2,0.0,0.0,0.0,500,4040,645a416c30096c917c5c433e357d67f64942e256f1089a11de4a545b370cc5a1
audit,breast_cancer_wisconsin,feature_noise,0.0,shadow,veto_mavs,mean_ensemble,accuracy,seed_level_paired_by_corruption_seed,2,0.0,0.0,0.0,500,4040,99848bb6dd9a99968b0c17a2d3d8f6bbeeff82b7e6aef34c5fdf4421e7300f09
audit,breast_cancer_wisconsin,feature_noise,0.0,shadow,veto_mavs,mean_ensemble,f1,seed_level_paired_by_corruption_seed,2,0.0,0.0,0.0,500,4040,21813f14f2b242a7618176852862294f6550c2838d6c7a19452884e80a35b6b7
audit,breast_cancer_wisconsin,feature_noise,0.0,shadow,veto_mavs,mean_ensemble,unsafe_acceptance_rate,seed_level_paired_by_corruption_seed,2,0.0,0.0,0.0,500,4040,54d0fc59b3d27689dfcd11453ba886df73638c1c08422253b5d8beda44823438
audit,breast_cancer_wisconsin,feature_noise,0.0,shadow,veto_mavs,static_weighted_ensemble,accuracy,seed_level_paired_by_corruption_seed,2,0.0,0.0,0.0,500,4040,e2c8eb00e9172774e7d6e6048b524d8e8100c81cac4c7a0e45f5e10049193264
audit,breast_cancer_wisconsin,feature_noise,0.0,shadow,veto_mavs,static_weighted_ensemble,f1,seed_level_paired_by_corruption_seed,2,0.0,0.0,0.0,500,4040,a391c2f12c8e8ac3d476dcf6156e0a82f631164ab724e2f8f0e9d74cf90b2f00
audit,breast_cancer_wisconsin,feature_noise,0.0,shadow,veto_mavs,static_weighted_ensemble,unsafe_acceptance_rate,seed_level_paired_by_corruption_seed,2,0.0,0.0,0.0,500,4040,44fcf18c27fd5e587b335961f82f97bf53f7b268fa5324cab58b8876d39a2374
audit,breast_cancer_wisconsin,feature_noise,0.0,shadow,pure_mavs_gc,single_model,accuracy,seed_level_paired_by_corruption_seed,2,0.0,0.0,0.0,500,4040,b6590f80298e6b5f10661515db59ec0556e666aa7ed56e0dcfcd8a2741d0737b
audit,breast_cancer_wisconsin,feature_noise,0.0,shadow,pure_mavs_gc,single_model,f1,seed_level_paired_by_corruption_seed,2,0.0,0.0,0.0,500,4040,c6a10ffe4d29b49f479a2b5d67dff188dc64bc0b4df9e4453883cf9f242736d8
audit,breast_cancer_wisconsin,feature_noise,0.0,shadow,pure_mavs_gc,single_model,unsafe_acceptance_rate,seed_level_paired_by_corruption_seed,2,0.0,0.0,0.0,500,4040,528c633d2a92e9c360c7c19cb833ac241e8d11d75c1a0e36bf631b8a83cf8e37
audit,breast_cancer_wisconsin,feature_noise,0.0,shadow,pure_mavs_gc,mean_ensemble,accuracy,seed_level_paired_by_corruption_seed,2,0.0,0.0,0.0,500,4040,070f1c153d964e1a5b8950d639a4db30fd2083a6d87646221156c9708e4990df
audit,breast_cancer_wisconsin,feature_noise,0.0,shadow,pure_mavs_gc,mean_ensemble,f1,seed_level_paired_by_corruption_seed,2,0.0,0.0,0.0,500,4040,803fc837492432d5aec7a52985d29256e51b994c21f267e722a128aad1c5008b
audit,breast_cancer_wisconsin,feature_noise,0.0,shadow,pure_mavs_gc,mean_ensemble,unsafe_acceptance_rate,seed_level_paired_by_corruption_seed,2,0.0,0.0,0.0,500,4040,9a06aadaae19ffb6a5a36f5672ec0b08d38c88f17379bfb7f8195bbbc8407982
audit,breast_cancer_wisconsin,feature_noise,0.0,shadow,pure_mavs_gc,static_weighted_ensemble,accuracy,seed_level_paired_by_corruption_seed,2,0.0,0.0,0.0,500,4040,1b30d3d51807d9216ba5bbc47ab81ad9eb76f99a3fd80bd3f0b54dba30617b54
audit,breast_cancer_wisconsin,feature_noise,0.0,shadow,pure_mavs_gc,static_weighted_ensemble,f1,seed_level_paired_by_corruption_seed,2,0.0,0.0,0.0,500,4040,065693b0946a77d6e50ba1242629e6ad9f7ec7211ec569937a54eb73ba818245
audit,breast_cancer_wisconsin,feature_noise,0.0,shadow,pure_mavs_gc,static_weighted_ensemble,unsafe_acceptance_rate,seed_level_paired_by_corruption_seed,2,0.0,0.0,0.0,500,4040,960f7e6118b9b0553ae384190fa27599777569ef3325738268143d8a00f9210f
audit,breast_cancer_wisconsin,feature_noise,0.05,audit,veto_mavs,single_model,accuracy,seed_level_paired_by_corruption_seed,3,0.0,0.0,0.0,500,4040,ae19c9369e622e623e09309c5a3184330a768d790c51b3535b86d836e8257feb
