split_label,dataset_id,system_id,corruption_family,corruption_level,seed_role,seed_count,run_count,accuracy_mean,accuracy_std,error_rate_mean,error_rate_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,observed_label_accuracy_mean,observed_label_accuracy_std,observed_label_f1_mean,observed_label_f1_std,unsafe_acceptance_rate_mean,unsafe_acceptance_rate_std,false_positive_rate_mean,false_positive_rate_std,false_negative_rate_mean,false_negative_rate_std,technical_failure_rate_mean,technical_failure_rate_std,rejection_rate_mean,rejection_rate_std,high_corruption_unsafe_acceptance_rate_mean,high_corruption_unsafe_acceptance_rate_std
audit,credit_card_fraud,static_weighted_ensemble,feature_noise,0.0,audit,3,3,0.9992275280898877,0.0,0.0007724719101123156,0.0,0.8888888888888888,0.0,0.64,0.0,0.7441860465116279,0.0,0.9992275280898877,0.0,0.7441860465116279,0.0,0.00014069644741470278,0.0,0.00014069644741470278,0.0,0.36,0.0,0.0,0.0,0.9987359550561797,0.0,0.0,0.0
audit,credit_card_fraud,static_weighted_ensemble,feature_noise,0.05,audit,3,3,0.9991807116104869,3.310425005554809e-05,0.000819288389513062,3.310425005554809e-05,0.8576998050682261,0.022054012668586278,0.64,0.0,0.7329105003523607,0.007973015150799729,0.9991807116104869,3.310425005554809e-05,0.7329105003523607,0.007973015150799729,0.0001875952632196037,3.3162470685264275e-05,0.0001875952632196037,3.3162470685264275e-05,0.36,0.0,0.0,0.0,0.998689138576779,3.310425005554809e-05,0.0,0.0
audit,credit_card_fraud,static_weighted_ensemble,feature_noise,0.1,audit,3,3,0.9991338951310862,6.620850011109619e-05,0.0008661048689138084,6.620850011109619e-05,0.8166666666666667,0.023570226039551553,0.6533333333333333,0.018856180831641284,0.725925925925926,0.020951312035156995,0.9991338951310862,6.620850011109619e-05,0.725925925925926,0.020951312035156995,0.0002579434869269551,3.3162470685264275e-05,0.0002579434869269551,3.3162470685264275e-05,0.3466666666666667,0.01885618083164126,0.0,0.0,0.9985955056179775,0.0,0.0,0.0
audit,credit_card_fraud,static_weighted_ensemble,feature_noise,0.2,audit,3,3,0.9991338951310862,3.310425005554809e-05,0.0008661048689138084,3.310425005554809e-05,0.8172096908939014,0.018028086896566594,0.6533333333333333,0.018856180831641284,0.7258380910554824,0.011483735180939203,0.9991338951310862,3.310425005554809e-05,0.7258380910554824,0.011483735180939203,0.0002579434869269551,3.3162470685264275e-05,0.0002579434869269551,3.3162470685264275e-05,0.3466666666666667,0.01885618083164126,0.0,0.0,0.9985955056179775,5.7338243042674133e-05,0.0,0.0
audit,credit_card_fraud,static_weighted_ensemble,feature_noise,0.4,audit,3,3,0.9991807116104869,3.310425005554809e-05,0.000819288389513062,3.310425005554809e-05,0.8232702969545075,0.013779386594779707,0.68,0.032659863237109024,0.7441202029546156,0.016182299408063885,0.9991807116104869,3.310425005554809e-05,0.7441202029546156,0.016182299408063885,0.0002579434869269551,3.3162470685264275e-05,0.0002579434869269551,3.3162470685264275e-05,0.32,0.032659863237109024,0.0,0.0,0.9985486891385768,8.758561298627643e-05,0.0,0.0
audit,credit_card_fraud,static_weighted_ensemble,feature_noise,0.6,audit,3,3,0.999063670411985,6.620850011114853e-05,0.0009363295880150021,6.620850011114853e-05,0.7886382623224728,0.037806878860433615,0.64,0.0,0.7061923583662714,0.014906071803668952,0.999063670411985,6.620850011114853e-05,0.7061923583662714,0.014906071803668952,0.000304842302731856,6.632494137052855e-05,0.000304842302731856,6.632494137052855e-05,0.36,0.0,0.0,0.0,0.9985720973782771,6.620850011109619e-05,0.0,0.0
audit,credit_card_fraud,static_weighted_ensemble,feature_noise,0.8,audit,3,3,0.9991104868913858,0.00011935907101111107,0.0008895131086142186,0.00011935907101111107,0.8269980506822612,0.057698652588458715,0.6266666666666667,0.018856180831641284,0.7127084801503405,0.033280640354098875,0.9991104868913858,0.00011935907101111107,0.7127084801503405,0.033280640354098875,0.00023449407902450463,8.773965029367901e-05,0.00023449407902450463,8.773965029367901e-05,0.37333333333333335,0.018856180831641284,0.0,0.0,0.9986657303370786,5.7338243042674133e-05,0.00023449407902450463,8.773965029367901e-05
audit,credit_card_fraud,static_weighted_ensemble,feature_noise,1.0,audit,3,3,0.9989934456928838,6.620850011114853e-05,0.0010065543071161216,6.620850011114853e-05,0.7527777777777778,0.0374742710089779,0.64,0.03265986323710907,0.690551776266062,0.018296133358013406,0.9989934456928838,6.620850011114853e-05,0.690551776266062,0.018296133358013406,0.0003751905264392074,8.773965029367901e-05,0.0003751905264392074,8.773965029367901e-05,0.36,0.032659863237109045,0.0,0.0,0.998501872659176,0.00013241700022219237,0.0003751905264392074,8.773965029367901e-05
audit,credit_card_fraud,static_weighted_ensemble,feature_noise,0.0,shadow,2,2,0.9992275280898877,0.0,0.0007724719101123156,0.0,0.8888888888888888,0.0,0.64,0.0,0.7441860465116279,0.0,0.9992275280898877,0.0,0.7441860465116279,0.0,0.00014069644741470278,0.0,0.00014069644741470278,0.0,0.36,0.0,0.0,0.0,0.9987359550561797,0.0,0.0,0.0
audit,credit_card_fraud,static_weighted_ensemble,feature_noise,0.05,shadow,2,2,0.9991573033707866,7.02247191011196e-05,0.0008426966292134352,7.02247191011196e-05,0.8444444444444444,0.0444444444444444,0.64,0.0,0.7276485788113696,0.01653746770025838,0.9991573033707866,7.02247191011196e-05,0.7276485788113696,0.01653746770025838,0.00021104467112205416,7.034822370735139e-05,0.00021104467112205416,7.034822370735139e-05,0.36,0.0,0.0,0.0,0.9986657303370786,7.02247191011196e-05,0.0,0.0
