split_label,dataset_id,system_id,corruption_family,corruption_level,seed_role,seed_count,accuracy_mean,accuracy_variance,variance_hash
locked,breast_cancer_wisconsin,static_weighted_ensemble,feature_noise,0.2,primary,3,0.9649122807017544,0.0,6585787e114d5b205042eece0ee0f29e48cc7498271c52d8b384f3dc7c007173
locked,breast_cancer_wisconsin,veto_mavs,feature_noise,0.2,primary,3,0.9415204678362573,6.839711364180387e-05,8d0addf5cf9caa0cf3a4a93e8deb692548c94f3c28ee5377fac82d1901615bd9
locked,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,0.2,primary,3,0.935672514619883,6.839711364180387e-05,5db3a3fc5e4a03febb4ea1eb0d304a4a5eb39775a9a056360b6ced36dfa93c43
locked,breast_cancer_wisconsin,single_model,feature_noise,0.2,shadow,2,0.9736842105263157,7.694675284702936e-05,f4b96fc59321f95ad481cec4e46a3450acc9d9edb05dc2554a774d2cd6b8115f
locked,breast_cancer_wisconsin,mean_ensemble,feature_noise,0.2,shadow,2,0.9824561403508771,0.0,ac9e75e0248cbc0e10c5ef25ee59368b136a1e421f4daff19c190ea9eda5e8d6
locked,breast_cancer_wisconsin,static_weighted_ensemble,feature_noise,0.2,shadow,2,0.9736842105263157,7.694675284702936e-05,176c305d76b857749d15bd7bafb1fac3500f89b7c71c9c8c03b3bb14a3d643ac
locked,breast_cancer_wisconsin,veto_mavs,feature_noise,0.2,shadow,2,0.9824561403508771,0.0,af615281540888bd43f7a59a0f44ccec487e902d0241b94eb7ab87dc3cac6b1f
locked,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,0.2,shadow,2,0.9824561403508771,0.0,d2b5c1c7ddc6e0128cf12ff1667edd691ccf9ad8b39835949e52199485266ca0
locked,breast_cancer_wisconsin,single_model,feature_noise,0.4,primary,3,0.9415204678362573,6.839711364180387e-05,cd0ee277bdfdf823af26cbffee167cc61069aac65ee4a39caf4459c275778743
locked,breast_cancer_wisconsin,mean_ensemble,feature_noise,0.4,primary,3,0.935672514619883,0.0017099278410451096,edd6dece6751701aec279ec217bf0d578e77504856731a0435002c882b98f795
locked,breast_cancer_wisconsin,static_weighted_ensemble,feature_noise,0.4,primary,3,0.9415204678362573,6.839711364180387e-05,fb91227f4c2682b6172c70e5518533e95f7b9fcfa83930454ca4c5dc74b5dec6
locked,breast_cancer_wisconsin,veto_mavs,feature_noise,0.4,primary,3,0.935672514619883,0.0017099278410451096,4fd679a50ac52c4357f693603ed8769f4fdacb131b6d20ee3f7273829c008c20
locked,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,0.4,primary,3,0.9181286549707602,0.0008891624773434565,e3e76f7a5515308a9c8db71471cbc4cc77690bb68a7f6cf4abb03979d21817e3
locked,breast_cancer_wisconsin,single_model,feature_noise,0.4,shadow,2,0.9210526315789473,0.0006925207756232672,fd0e6a8b944862ba529655ead3f31a02bd3abdd3ae6607c6be1b9978d04fa414
locked,breast_cancer_wisconsin,mean_ensemble,feature_noise,0.4,shadow,2,0.9210526315789473,0.0006925207756232672,83a24b7f7c0a35cc640f4de5455805982461e953b5545913f9fe46fa3ef402c3
locked,breast_cancer_wisconsin,static_weighted_ensemble,feature_noise,0.4,shadow,2,0.9385964912280702,7.694675284702936e-05,9a6b8487990d6619862fe5747be2d5b4efd2a08e19962a1257090998fe4c8cb5
locked,breast_cancer_wisconsin,veto_mavs,feature_noise,0.4,shadow,2,0.9210526315789473,0.0006925207756232672,1fda1d4b0766d325662033dad0b47407fb4835073acd4e0cdcab4248c49a428c
locked,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,0.4,shadow,2,0.9298245614035088,0.0,ad01561d5f541e2f69d1f22553762615f6d417e2d9ad176cb15d810d29b27b9a
locked,breast_cancer_wisconsin,single_model,feature_noise,0.6,primary,3,0.9415204678362573,0.0008891624773434557,c2406b242fa9fec4497a1ad54476839ed125a6082daf422e2b28c7c84c7865b1
locked,breast_cancer_wisconsin,mean_ensemble,feature_noise,0.6,primary,3,0.9181286549707602,6.839711364180474e-05,075501af6448e4159f299bc44ede459eaf77b20f6702cfa6447717cafb02bdd8
locked,breast_cancer_wisconsin,static_weighted_ensemble,feature_noise,0.6,primary,3,0.935672514619883,0.00129954515919428,8e49a221a2a2e8964d83c31587d9a9adf44bb26b3cb568cb3b869312f11afd38
locked,breast_cancer_wisconsin,veto_mavs,feature_noise,0.6,primary,3,0.9181286549707602,6.839711364180474e-05,614deb46b1e0e5568c59b24d2b95079acdc12aa9f92a58bbc0ac604836566ff0
locked,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,0.6,primary,3,0.9064327485380117,0.0010943538182688688,39bea1157d891e5438ef2eecdec8a2ba73d2ecefdb10caa80ff014bbf894c9b9
locked,breast_cancer_wisconsin,single_model,feature_noise,0.6,shadow,2,0.9385964912280702,7.694675284702936e-05,7f0472398fe9acae5a432b42bbe07c4e6d194ddf29adef52a301a818de52df42
