run_id,run_mode,split_label,split,dataset_id,system_id,corruption_family,corruption_id,corruption_level,corruption_seed,seed_role,corruption_target_space,corruption_config_hash,corruption_manifest_hash,prediction_path,prediction_sha256,trace_required,theta_mean,theta_median,theta_min,theta_max,theta_std,theta_q05,theta_q25,theta_q75,theta_q95,theta_hist_counts,theta_hist_edges
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,veto_mavs,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p05__primary_1001,0.05,1001,primary,features,865e78edeedf4274d23488d0719344e848026f7bf9e6d0448e60440187111c70,9cb39a5bdb874933edacd3b75faa7f370a6ae8e765b3b9af90c3ebb339fe4a72,C:\Users\Saif malik\MAVS-Ch10B\results\stress_runs\phase3_locked_full_v1\predictions\veto_mavs\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p05__primary_1001.npz,174527f424f880b87e2962f506c48d9109de7039f6f782aa20df62f787cca357,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0|0|0|0|0|57|0|0|0|0,-0.5|-0.4|-0.3|-0.2|-0.1|0|0.1|0.2|0.3|0.4|0.5
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p05__primary_1001,0.05,1001,primary,features,865e78edeedf4274d23488d0719344e848026f7bf9e6d0448e60440187111c70,9cb39a5bdb874933edacd3b75faa7f370a6ae8e765b3b9af90c3ebb339fe4a72,C:\Users\Saif malik\MAVS-Ch10B\results\stress_runs\phase3_locked_full_v1\predictions\pure_mavs_gc\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p05__primary_1001.npz,5535b29471316edb5ccacca7c9bc2744abf7755ba8977327a97e08c3b92491f8,True,0.03123342115286173,0.002441583915871498,5.637384277684083e-05,0.20321412526909066,0.05718383432988583,0.00011330079655506461,0.00039499375296016097,0.02467964733407016,0.17983908360181,42|3|0|2|3|1|0|2|1|3,5.63738427768e-05|0.0203721489854|0.040687924128|0.0610036992707|0.0813194744133|0.101635249556|0.121951024699|0.142266799841|0.162582574984|0.182898350126|0.203214125269
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,veto_mavs,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p05__primary_1002,0.05,1002,primary,features,865e78edeedf4274d23488d0719344e848026f7bf9e6d0448e60440187111c70,e0e1303bc9fc769182a650a446e66779e03e408eece07761692dbcab795df3ac,C:\Users\Saif malik\MAVS-Ch10B\results\stress_runs\phase3_locked_full_v1\predictions\veto_mavs\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p05__primary_1002.npz,5d31023d5540ab28f718a887052670d3617fbb44cc5dca03055755870badcc77,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0|0|0|0|0|57|0|0|0|0,-0.5|-0.4|-0.3|-0.2|-0.1|0|0.1|0.2|0.3|0.4|0.5
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p05__primary_1002,0.05,1002,primary,features,865e78edeedf4274d23488d0719344e848026f7bf9e6d0448e60440187111c70,e0e1303bc9fc769182a650a446e66779e03e408eece07761692dbcab795df3ac,C:\Users\Saif malik\MAVS-Ch10B\results\stress_runs\phase3_locked_full_v1\predictions\pure_mavs_gc\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p05__primary_1002.npz,2b0002a13be088cb7a123810c08bdf92c02c4a02022232bcd18bebecfff92231,True,0.03236844620192866,0.0023161430230616634,6.150153266067808e-05,0.21253792738643837,0.060989045933230325,0.00015011723592797912,0.00030502947163291595,0.02105987472032103,0.18991444023214588,43|2|0|4|1|0|0|3|1|3,6.15015326607e-05|0.021309144118|0.0425567867034|0.0638044292888|0.0850520718742|0.10629971446|0.127547357045|0.14879499963|0.170042642216|0.191290284801|0.212537927386
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,veto_mavs,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p05__primary_1003,0.05,1003,primary,features,865e78edeedf4274d23488d0719344e848026f7bf9e6d0448e60440187111c70,bb01eb6cc06a45075ad6125628501fc3452be18030c5f2775e344afa904b6300,C:\Users\Saif malik\MAVS-Ch10B\results\stress_runs\phase3_locked_full_v1\predictions\veto_mavs\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p05__primary_1003.npz,3b835df13382e5b82232361c7a494e15dd914bcd739cabc9d76fa23d815230fa,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0|0|0|0|0|57|0|0|0|0,-0.5|-0.4|-0.3|-0.2|-0.1|0|0.1|0.2|0.3|0.4|0.5
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p05__primary_1003,0.05,1003,primary,features,865e78edeedf4274d23488d0719344e848026f7bf9e6d0448e60440187111c70,bb01eb6cc06a45075ad6125628501fc3452be18030c5f2775e344afa904b6300,C:\Users\Saif malik\MAVS-Ch10B\results\stress_runs\phase3_locked_full_v1\predictions\pure_mavs_gc\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p05__primary_1003.npz,50507b839b9784509acd0b1896823920686c875be4cf94513f9e1db0aa36ca0c,True,0.03280592341638019,0.00245487674285967,6.075524940244595e-05,0.2039591516357125,0.060554154639694414,0.00015450412010509676,0.00027166988084241966,0.022840509532081586,0.186190707599538,42|2|1|3|1|1|1|0|2|4,6.07552494024e-05|0.020450594888|0.0408404345267|0.0612302741653|0.0816201138039|0.102009953443|0.122399793081|0.14278963272|0.163179472358|0.183569311997|0.203959151636
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,veto_mavs,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p05__shadow_9001,0.05,9001,shadow,features,865e78edeedf4274d23488d0719344e848026f7bf9e6d0448e60440187111c70,9d0cd433cd419f93bc3fb942060c3f6e2df02e9550bdee7e247e28ef76cad55b,C:\Users\Saif malik\MAVS-Ch10B\results\stress_runs\phase3_locked_full_v1\predictions\veto_mavs\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p05__shadow_9001.npz,b5924589eedfaf94d2d086984b5a19b157272634c9fc90b3dafd9a49ac640adc,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0|0|0|0|0|57|0|0|0|0,-0.5|-0.4|-0.3|-0.2|-0.1|0|0.1|0.2|0.3|0.4|0.5
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p05__shadow_9001,0.05,9001,shadow,features,865e78edeedf4274d23488d0719344e848026f7bf9e6d0448e60440187111c70,9d0cd433cd419f93bc3fb942060c3f6e2df02e9550bdee7e247e28ef76cad55b,C:\Users\Saif malik\MAVS-Ch10B\results\stress_runs\phase3_locked_full_v1\predictions\pure_mavs_gc\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p05__shadow_9001.npz,cb0ebefe1b19ca09ae72b679d5e5d21a62b0686c9e849c6d0329934b5ba335f6,True,0.03330999520284904,0.0025264228628158313,5.97887024184097e-05,0.22903089733829282,0.06346079331283391,7.594849401204419e-05,0.00030691376827718896,0.017668108130299277,0.2018185624600576,43|2|2|3|0|0|0|3|2|2,5.97887024184e-05|0.022956899566|0.0458540104296|0.0687511212932|0.0916482321568|0.11454534302|0.137442453884|0.160339564748|0.183236675611|0.206133786475|0.229030897338
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,veto_mavs,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p05__shadow_9002,0.05,9002,shadow,features,865e78edeedf4274d23488d0719344e848026f7bf9e6d0448e60440187111c70,b3ac530fb7025ac4ee4158936ac15207a2c1d32f06f6095ea108d150fb6c6bb9,C:\Users\Saif malik\MAVS-Ch10B\results\stress_runs\phase3_locked_full_v1\predictions\veto_mavs\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p05__shadow_9002.npz,89c978f94fbeca8becf2686bca22fa810fb7be88d28bf8fb54f8548e16632878,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0|0|0|0|0|57|0|0|0|0,-0.5|-0.4|-0.3|-0.2|-0.1|0|0.1|0.2|0.3|0.4|0.5
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p05__shadow_9002,0.05,9002,shadow,features,865e78edeedf4274d23488d0719344e848026f7bf9e6d0448e60440187111c70,b3ac530fb7025ac4ee4158936ac15207a2c1d32f06f6095ea108d150fb6c6bb9,C:\Users\Saif malik\MAVS-Ch10B\results\stress_runs\phase3_locked_full_v1\predictions\pure_mavs_gc\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p05__shadow_9002.npz,cccf7aa501962cfe73be566d5ceb7e8a821db66532df197e332e78908e2d6347,True,0.03401597928292327,0.0021730179314019267,5.573879933944296e-05,0.21518112695389105,0.064519482830045,0.00015979335650276617,0.00032233844923002105,0.01939522167334004,0.20204662632276374,43|2|1|3|0|0|1|2|1|4,5.57387993394e-05|0.0215682776148|0.0430808164302|0.0645933552457|0.0861058940612|0.107618432877|0.129130971692|0.150643510508|0.172156049323|0.193668588138|0.215181126954
