split_label,dataset_id,corruption_family,corruption_level,seed_role,governance_system_id,baseline_system_id,metric,bootstrap_unit,seed_count,delta_mean,ci_lower,ci_upper,iterations,bootstrap_seed,bootstrap_hash
locked,breast_cancer_wisconsin,feature_noise,0.0,shadow,veto_mavs,single_model,f1,seed_level_paired_by_corruption_seed,2,-0.025551684088269466,-0.025551684088269466,-0.025551684088269466,500,4040,4aaff9c7f7adcc97a3e5cdc59e13a6968a4c62e1cde9363b6bd3d3ae8badc2f6
locked,breast_cancer_wisconsin,feature_noise,0.0,shadow,veto_mavs,single_model,unsafe_acceptance_rate,seed_level_paired_by_corruption_seed,2,0.0,0.0,0.0,500,4040,9d4d381a2efa99c1c43b217e17843c162d6e7169c701c19a0e72ab8fb067ff06
locked,breast_cancer_wisconsin,feature_noise,0.0,shadow,veto_mavs,mean_ensemble,accuracy,seed_level_paired_by_corruption_seed,2,0.0,0.0,0.0,500,4040,d3d7621e2b2e43c1279e383bdc719ed76f986bd1dff3c16b8d72431fc9238207
locked,breast_cancer_wisconsin,feature_noise,0.0,shadow,veto_mavs,mean_ensemble,f1,seed_level_paired_by_corruption_seed,2,0.0,0.0,0.0,500,4040,1d1a7f1d8bff5e9eea8de0f28b84866a95f4ac3126eb9df1208e5c96b8ed4f11
locked,breast_cancer_wisconsin,feature_noise,0.0,shadow,veto_mavs,mean_ensemble,unsafe_acceptance_rate,seed_level_paired_by_corruption_seed,2,0.0,0.0,0.0,500,4040,6bc47989febd5e78e9c1c12453a51ff881a743708eb978f0c81ea04408cc3a6c
locked,breast_cancer_wisconsin,feature_noise,0.0,shadow,veto_mavs,static_weighted_ensemble,accuracy,seed_level_paired_by_corruption_seed,2,-0.01754385964912286,-0.01754385964912286,-0.01754385964912286,500,4040,5d5bed1bdd969d4c965a4dabb5e13ec18d8adec7c96e8b574689bae1782882c9
locked,breast_cancer_wisconsin,feature_noise,0.0,shadow,veto_mavs,static_weighted_ensemble,f1,seed_level_paired_by_corruption_seed,2,-0.025551684088269466,-0.025551684088269466,-0.025551684088269466,500,4040,1fce3268e508cc69abcb4c32307ecc21a5afd4add0611cacf4c5bcae09cdfebb
locked,breast_cancer_wisconsin,feature_noise,0.0,shadow,veto_mavs,static_weighted_ensemble,unsafe_acceptance_rate,seed_level_paired_by_corruption_seed,2,0.0,0.0,0.0,500,4040,1b7d56e45e6b66ab1ae661f8d1cfd4950171083f1595eae9f9f53e603b6bd8bd
locked,breast_cancer_wisconsin,feature_noise,0.0,shadow,pure_mavs_gc,single_model,accuracy,seed_level_paired_by_corruption_seed,2,-0.01754385964912286,-0.01754385964912286,-0.01754385964912286,500,4040,9a98bc8c7743fb9b6b3ee008f148981d5d0a04da842011552f88eb86d3475f3c
locked,breast_cancer_wisconsin,feature_noise,0.0,shadow,pure_mavs_gc,single_model,f1,seed_level_paired_by_corruption_seed,2,-0.025551684088269466,-0.025551684088269466,-0.025551684088269466,500,4040,601e95286dedda3db18545f7c780c0a05dbca3228fc82eb00d61158301f88043
