split_label,dataset_id,corruption_family,corruption_id,corruption_level,corruption_seed,seed_role,governance_system_id,baseline_system_id,metric,governance_value,baseline_value,delta,delta_hash
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1001,0.0,1001,primary,pure_mavs_gc,single_model,technical_failure_rate,0.0,0.0,0.0,fc93e7d457b14a0fcf4f39ae600bcee9518466f498ce314857b4bdb1805ea8fb
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1001,0.0,1001,primary,pure_mavs_gc,mean_ensemble,accuracy,0.9473684210526315,0.9473684210526315,0.0,732e6d1759f3af42fc54b5240315b28fef8cce274871bcbcee03fe5ae9a3e700
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1001,0.0,1001,primary,pure_mavs_gc,mean_ensemble,f1,0.9268292682926829,0.9268292682926829,0.0,8d57fb17f06887b7bd5d303ae8ec31c3c72172d00004fe08f3a096eb6a36e93f
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1001,0.0,1001,primary,pure_mavs_gc,mean_ensemble,unsafe_acceptance_rate,0.027777777777777776,0.027777777777777776,0.0,e1c049ac592839c39da29b230d26642625203d8fb1f8c8be340b31052cada9b7
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1001,0.0,1001,primary,pure_mavs_gc,mean_ensemble,rejection_rate,0.6491228070175439,0.6491228070175439,0.0,4b24711067c84a5a53a62742219285bcf50be4d0d4876d76f7e5cc4adede7c12
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1001,0.0,1001,primary,pure_mavs_gc,mean_ensemble,technical_failure_rate,0.0,0.0,0.0,4b77ed102e9b80cfd78c470af59edb9c865450822a14fea81d6d568aa7122d89
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1001,0.0,1001,primary,pure_mavs_gc,static_weighted_ensemble,accuracy,0.9473684210526315,0.9649122807017544,-0.01754385964912286,3321e9bc90997fe1ed15b909c66ff41fa6dbc7cc358b4baa737ac6c40af32596
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1001,0.0,1001,primary,pure_mavs_gc,static_weighted_ensemble,f1,0.9268292682926829,0.9523809523809523,-0.025551684088269466,43f2c23d92a95c0dcbb65d2a5447cd24e94b9397ee81f93d7ce62d9536324f24
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1001,0.0,1001,primary,pure_mavs_gc,static_weighted_ensemble,unsafe_acceptance_rate,0.027777777777777776,0.027777777777777776,0.0,fbeb8dad1d712964514ed3d8aa75fc48e821b699f3d301551c2315fa335a6388
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1001,0.0,1001,primary,pure_mavs_gc,static_weighted_ensemble,rejection_rate,0.6491228070175439,0.631578947368421,0.01754385964912286,3bacd272a6120b4404edd06719e7d4938bb3527c550bd4a319126043ac078518
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1001,0.0,1001,primary,pure_mavs_gc,static_weighted_ensemble,technical_failure_rate,0.0,0.0,0.0,53c33fc4ff6a5c05cdf606f35e4b9391a94e34cda3de311f3b36ff35fdbb9783
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1002,0.0,1002,primary,veto_mavs,single_model,accuracy,0.9473684210526315,0.9649122807017544,-0.01754385964912286,ed162653930ee29bb68eaf284c74b217b8ee06f95f8cdbea4d7556424e924c32
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1002,0.0,1002,primary,veto_mavs,single_model,f1,0.9268292682926829,0.9523809523809523,-0.025551684088269466,b354bbdedd13e1f4d0655afc3c957c5deb495c7f71ed80a63f7efcea751ac5b2
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1002,0.0,1002,primary,veto_mavs,single_model,unsafe_acceptance_rate,0.027777777777777776,0.027777777777777776,0.0,d9f8bd25d5d58cec510230c878f28fe17a14adb93962d2ad88e60649f0d52c75
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1002,0.0,1002,primary,veto_mavs,single_model,rejection_rate,0.6491228070175439,0.631578947368421,0.01754385964912286,6344b16d63f2943ac3af3140ae578ee20ad76042207167906ffbab6885b3dba0
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1002,0.0,1002,primary,veto_mavs,single_model,technical_failure_rate,0.0,0.0,0.0,91632f14b63226a8cbf25f1930c216157cfd0f33101891782ba371ac73e8bd98
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1002,0.0,1002,primary,veto_mavs,mean_ensemble,accuracy,0.9473684210526315,0.9473684210526315,0.0,dd9ab058354e725133291b1e80b692b70c432095166592d726969c2b979d28d9
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1002,0.0,1002,primary,veto_mavs,mean_ensemble,f1,0.9268292682926829,0.9268292682926829,0.0,6b7b16be22af7f4fbda47e1e21b17eca2ab57bd50c5e39bd2a76fdcbe8695d8b
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1002,0.0,1002,primary,veto_mavs,mean_ensemble,unsafe_acceptance_rate,0.027777777777777776,0.027777777777777776,0.0,dadd84fc30967b7e5c1e86e9e1bd6c66a9896d725482a042f118d851e67d4746
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1002,0.0,1002,primary,veto_mavs,mean_ensemble,rejection_rate,0.6491228070175439,0.6491228070175439,0.0,92a3e8e3617a5d552425d284555d8eef5311358d6f5151ad39b6bf25afb69961
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1002,0.0,1002,primary,veto_mavs,mean_ensemble,technical_failure_rate,0.0,0.0,0.0,e753876f05a1928c6706b7282db0d3e967a1caf40874ba813c2cd6609eae0ac9
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1002,0.0,1002,primary,veto_mavs,static_weighted_ensemble,accuracy,0.9473684210526315,0.9649122807017544,-0.01754385964912286,a3d3585a6ab62ddf6c607e3aa7b87b37989bf1855f01d66a00bae3f24968b95a
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1002,0.0,1002,primary,veto_mavs,static_weighted_ensemble,f1,0.9268292682926829,0.9523809523809523,-0.025551684088269466,81cd9081d8b608e2eed0fdfb4fad7248cad3d06d56274296e2b4b8a3845314fa
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1002,0.0,1002,primary,veto_mavs,static_weighted_ensemble,unsafe_acceptance_rate,0.027777777777777776,0.027777777777777776,0.0,da871d41c746339a0aaa596c4c40ae3dda6df690dbead8dcb3f839b40ae1c31c
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1002,0.0,1002,primary,veto_mavs,static_weighted_ensemble,rejection_rate,0.6491228070175439,0.631578947368421,0.01754385964912286,9eaba05cd30438c14b63fa64763338b3547a2bf70ad1d1f03e6b8ca243187b1e
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1002,0.0,1002,primary,veto_mavs,static_weighted_ensemble,technical_failure_rate,0.0,0.0,0.0,51761fe63be502efeb73ec99700ea5ac3d864a801f50661779fbb425c088aad3
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1002,0.0,1002,primary,pure_mavs_gc,single_model,accuracy,0.9473684210526315,0.9649122807017544,-0.01754385964912286,c692bea59fe8eb005d92c62ef2ecbf08afc2ea8b5d47900adb5b66a7edc47ede
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1002,0.0,1002,primary,pure_mavs_gc,single_model,f1,0.9268292682926829,0.9523809523809523,-0.025551684088269466,64985024728cba5701f3676bb670a3959fd793233e6369748b5c3cb30344ebc3
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1002,0.0,1002,primary,pure_mavs_gc,single_model,unsafe_acceptance_rate,0.027777777777777776,0.027777777777777776,0.0,c911cac8228b7e1ef141db19ea57a35d5c7aef7896e344ed905ae6517ef7a73a
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1002,0.0,1002,primary,pure_mavs_gc,single_model,rejection_rate,0.6491228070175439,0.631578947368421,0.01754385964912286,f9c18a2b0ce4e6b2585dc98cb8b5ed89f33bc97125bb85e975de6678dd8693bc
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1002,0.0,1002,primary,pure_mavs_gc,single_model,technical_failure_rate,0.0,0.0,0.0,d66f83d3bd0a865ddc9cb7edab3e2782c439c39b8077e38e0b7378ff0e106b40
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1002,0.0,1002,primary,pure_mavs_gc,mean_ensemble,accuracy,0.9473684210526315,0.9473684210526315,0.0,c185f4411b2eefa232bb4df26dba8f27c742c9802889ce98dc75cbd8d5e3659e
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1002,0.0,1002,primary,pure_mavs_gc,mean_ensemble,f1,0.9268292682926829,0.9268292682926829,0.0,eb60724dea0190852fbf4c340212e3a5923ff223d09f015cb5da667d40ebaabb
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1002,0.0,1002,primary,pure_mavs_gc,mean_ensemble,unsafe_acceptance_rate,0.027777777777777776,0.027777777777777776,0.0,b784cd90134a1a2af83d6396420bd7955eaef40906aaae5d484635dd0cbe516b
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1002,0.0,1002,primary,pure_mavs_gc,mean_ensemble,rejection_rate,0.6491228070175439,0.6491228070175439,0.0,7302607187a98600c4ccd5dae594b0cde65bca515f5a2a90136674f1a32fbc80
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1002,0.0,1002,primary,pure_mavs_gc,mean_ensemble,technical_failure_rate,0.0,0.0,0.0,ba26e173fbef0461104fb6b996e76db76b2bf99b0823278bfbfbaa88ba56e916
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1002,0.0,1002,primary,pure_mavs_gc,static_weighted_ensemble,accuracy,0.9473684210526315,0.9649122807017544,-0.01754385964912286,ee823dda843cf8b404d9721d514c33928adb38a7a95f046743089fe3f70e1f76
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1002,0.0,1002,primary,pure_mavs_gc,static_weighted_ensemble,f1,0.9268292682926829,0.9523809523809523,-0.025551684088269466,df589cbca3ec7980bec2c7fd71a7dce8289095fc53265666a9b90ad06415e6e2
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1002,0.0,1002,primary,pure_mavs_gc,static_weighted_ensemble,unsafe_acceptance_rate,0.027777777777777776,0.027777777777777776,0.0,79ab7cdd8be8dfa26d1e13b7aad13d8f1cee33bfb2f315bb16103699fbf62f9f
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1002,0.0,1002,primary,pure_mavs_gc,static_weighted_ensemble,rejection_rate,0.6491228070175439,0.631578947368421,0.01754385964912286,2659eac1c52a9abe6dfecfe53b9893b2596b94cd7b64f2cd3f6a217646bf8d91
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1002,0.0,1002,primary,pure_mavs_gc,static_weighted_ensemble,technical_failure_rate,0.0,0.0,0.0,4ab746bbb8c78218e3b6371c92b4ce3f9016da7333a2fbed5109f17941e0e632
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1003,0.0,1003,primary,veto_mavs,single_model,accuracy,0.9473684210526315,0.9649122807017544,-0.01754385964912286,d9bae16ffc3b5c1f7e58feae66959cfe64e5c72cfbc8580db5e541b240d87b24
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1003,0.0,1003,primary,veto_mavs,single_model,f1,0.9268292682926829,0.9523809523809523,-0.025551684088269466,ef0122f42d0bfe65433f0db05b8e0f5352daec416b4f3f6846057b209d3c62ad
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1003,0.0,1003,primary,veto_mavs,single_model,unsafe_acceptance_rate,0.027777777777777776,0.027777777777777776,0.0,dffb53df628d4963a54838bdab79727174f81d2503480b5a9016b619a59b7496
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1003,0.0,1003,primary,veto_mavs,single_model,rejection_rate,0.6491228070175439,0.631578947368421,0.01754385964912286,a40428023708097db3659fc82d627697c73ff94a6d30e4f7a407f15770253c4d
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1003,0.0,1003,primary,veto_mavs,single_model,technical_failure_rate,0.0,0.0,0.0,119440b231063a2dda125906075377f66cb5d79ca5fceb9ee221629dcc03c9e9
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1003,0.0,1003,primary,veto_mavs,mean_ensemble,accuracy,0.9473684210526315,0.9473684210526315,0.0,c9e8c33473cc09a7770aa2c3a57dc23cb913adc46a4ddd7a333f7298519918ea
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1003,0.0,1003,primary,veto_mavs,mean_ensemble,f1,0.9268292682926829,0.9268292682926829,0.0,0f2b7fd050445e2e14b5848aa5b792b6103418c6837e5b1b9c16c834a7c4f574
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1003,0.0,1003,primary,veto_mavs,mean_ensemble,unsafe_acceptance_rate,0.027777777777777776,0.027777777777777776,0.0,b02eaa27fe0ba02072193ee3ce2d42fda00c0c09674ea815ddd9bf320414b446
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1003,0.0,1003,primary,veto_mavs,mean_ensemble,rejection_rate,0.6491228070175439,0.6491228070175439,0.0,14b1721750eddd47212b84371d54296bce7215df006939354fcd73711a1f9377
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1003,0.0,1003,primary,veto_mavs,mean_ensemble,technical_failure_rate,0.0,0.0,0.0,1c8fec3273d2e59ed4db0c5c3678d0b46bbe993701009154066312e4b5f37d92
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1003,0.0,1003,primary,veto_mavs,static_weighted_ensemble,accuracy,0.9473684210526315,0.9649122807017544,-0.01754385964912286,c778e318c436c4d2cdff1c5cdf6878a68c4dafa83c2f6dced11c82e0bdcd80c9
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1003,0.0,1003,primary,veto_mavs,static_weighted_ensemble,f1,0.9268292682926829,0.9523809523809523,-0.025551684088269466,8821fa2b2abd43ea4748412228ba29e263c527d0cf7615670a1822a5575ca18d
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1003,0.0,1003,primary,veto_mavs,static_weighted_ensemble,unsafe_acceptance_rate,0.027777777777777776,0.027777777777777776,0.0,ba0b71c179a1f00b3e535d31eb3b0b0df5fb1f94f118730aa1065c2e46af64b8
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1003,0.0,1003,primary,veto_mavs,static_weighted_ensemble,rejection_rate,0.6491228070175439,0.631578947368421,0.01754385964912286,1880ec6dc6ab0b541207d9259a035679299f32bd9bd2d4628e749cfb7136c862
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1003,0.0,1003,primary,veto_mavs,static_weighted_ensemble,technical_failure_rate,0.0,0.0,0.0,0dec150af2a7cd99bdc2238a264abb6aba4e4423c47be6a8907aad642a7f42f3
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1003,0.0,1003,primary,pure_mavs_gc,single_model,accuracy,0.9473684210526315,0.9649122807017544,-0.01754385964912286,a565ed0312a02702e0d868b52fd3725742ed1a4e39e46918fdf0864d52f89de1
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1003,0.0,1003,primary,pure_mavs_gc,single_model,f1,0.9268292682926829,0.9523809523809523,-0.025551684088269466,22390ffa6fcb0ea43a34f1e57b95112aecffd5d48a20a2fe180ec78802c3a0a5
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1003,0.0,1003,primary,pure_mavs_gc,single_model,unsafe_acceptance_rate,0.027777777777777776,0.027777777777777776,0.0,a1497c13978599c6dcacd15f2c990a77ce5d7bacfa118d9f4cb030dff6b9a9c4
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1003,0.0,1003,primary,pure_mavs_gc,single_model,rejection_rate,0.6491228070175439,0.631578947368421,0.01754385964912286,6b41c7e1de5bc53f6b6a8ce446eb3de6485b9f7f2de9cc2a8c7c5bca975122de
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1003,0.0,1003,primary,pure_mavs_gc,single_model,technical_failure_rate,0.0,0.0,0.0,5dc60a0e5ad622cf38ce7d381c28e47cd3a9727c7b76a6d617c64f09999d0682
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1003,0.0,1003,primary,pure_mavs_gc,mean_ensemble,accuracy,0.9473684210526315,0.9473684210526315,0.0,1264216d3066036614ec03931a6a12a97ee2a9b10d74225b93d5638e2e4bfb06
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1003,0.0,1003,primary,pure_mavs_gc,mean_ensemble,f1,0.9268292682926829,0.9268292682926829,0.0,c39e2f2a1639b35169ec513fd1d328fdc16964474798cfc822a4f8d3dad31239
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1003,0.0,1003,primary,pure_mavs_gc,mean_ensemble,unsafe_acceptance_rate,0.027777777777777776,0.027777777777777776,0.0,4c02d93084df84d31ec04ec63830bbca57b84286caf75ad87ac4ccbade6dd499
locked,breast_cancer_wisconsin,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1003,0.0,1003,primary,pure_mavs_gc,mean_ensemble,rejection_rate,0.6491228070175439,0.6491228070175439,0.0,40962dc1ec357762d2db2d558efcc9d386c44608ac9358d8738d4298d281d9c0
