run_id,run_mode,split_label,split,dataset_id,system_id,corruption_family,corruption_level,seed_role,seed_count,system_run_count,prediction_rows,trace_rows,prediction_artifact_count,aggregate_hash
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,veto_mavs,feature_noise,0.1,primary,3,3,171,171,3,cac669de75437a4ca8754941a54831958d6fc6168e31e33b32e8529f99cebb5d
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,0.1,primary,3,3,171,171,3,b3c91d59393f0cff5f4d741333fecaa30aabfd10c9d9814ca840fc0f296e972a
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,single_model,feature_noise,0.1,shadow,2,2,114,0,2,fe326a2bdf8ca9d4ea59bbdf8268ce95797c56130e157afcf00df1fdba9933cd
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,mean_ensemble,feature_noise,0.1,shadow,2,2,114,0,2,d1b70fe9141fb2ff0eb741354e42dedc7857b5264297c234286954b2330cc959
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,static_weighted_ensemble,feature_noise,0.1,shadow,2,2,114,0,2,cc7c6fbdb8d88380ebf842b8fbc1135aab7b2b46f22849934efdf6e96c968759
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,veto_mavs,feature_noise,0.1,shadow,2,2,114,114,2,dae09d7c2d06ae29b1e5442924ea29b815bb32b7533e8710217bf66572295fe4
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,0.1,shadow,2,2,114,114,2,99a1eb2c72e042697a4d07816b239768f997993552e660acb6279c7748959841
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,single_model,feature_noise,0.2,primary,3,3,171,0,3,9f1e38858aadbdc099a4b252422806c2b93eef60c7c2bb86737ce0a248065ac8
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,mean_ensemble,feature_noise,0.2,primary,3,3,171,0,3,a3e9492255187fbeeed9fe240ce82e9df5a015c931b1bc235e805af7b4b77a0b
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,static_weighted_ensemble,feature_noise,0.2,primary,3,3,171,0,3,e580120074eff35de4c8d7be41f51b04070493247d77b8e6e0d47f848a437156
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,veto_mavs,feature_noise,0.2,primary,3,3,171,171,3,cdc4cd851831158ad45980da4d23f2d72c92e6f674e1d0d3d42ad32354e89f50
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,0.2,primary,3,3,171,171,3,b30c0345d83e4efa1fd7a8b496c1d9ae95f4eec6ed1de3ddf98999ca89e5cad1
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,single_model,feature_noise,0.2,shadow,2,2,114,0,2,3c28c4380fff32c65859f0fdfd6a5b254c71bb5dfa1f949c96c41a9ffb448bc5
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,mean_ensemble,feature_noise,0.2,shadow,2,2,114,0,2,c049a383fa90fb2fbca63218951cfc76841994aa43414100c45cf262756c6217
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,static_weighted_ensemble,feature_noise,0.2,shadow,2,2,114,0,2,6240b42bc49a59111c0718a7a35379d9bc92c9d7b78859800a289d710d5e96ea
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,veto_mavs,feature_noise,0.2,shadow,2,2,114,114,2,237b4b9835c0bfd6184c1b1ff1fbec7349c99a0318e4937b872548ce2989a3ec
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,0.2,shadow,2,2,114,114,2,c3ac1b5ebc977c541ad8b4557bdc0b8c01fabcd2f2fce349c84b230442afbf8d
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,single_model,feature_noise,0.4,primary,3,3,171,0,3,570de07503c03c6dfe9585c691a34851709c37c585ad0347f22289e5e8afdddb
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,mean_ensemble,feature_noise,0.4,primary,3,3,171,0,3,f6d60bba0f3e56fe0cff4263e0f9136bc19a09882bcbabf6b2644ed23a774f80
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,static_weighted_ensemble,feature_noise,0.4,primary,3,3,171,0,3,225b1528f7aec56331c652c2e0b861b94089c4be92a2e207cf7c102c3cd4d012
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,veto_mavs,feature_noise,0.4,primary,3,3,171,171,3,0f092c405f6892557d2294c15bc8589e664b2de2c79877e6a9138e0e68ee3b27
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,0.4,primary,3,3,171,171,3,1afaaeacea62d6d1432c63956371e4b120b19c47a1a35d9b7336604032f93277
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,single_model,feature_noise,0.4,shadow,2,2,114,0,2,424427def63fd66d604cd7db6d9c6a71fdf81979bab4a26bf2bea1a335b7db0a
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,mean_ensemble,feature_noise,0.4,shadow,2,2,114,0,2,8576d12911b9dee114be0a4ca0863a3c10c129ca5f8f5bdf1ec07c3f21b0d999
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,static_weighted_ensemble,feature_noise,0.4,shadow,2,2,114,0,2,36615d17681a5a776e66ae33ffe8a6f37b4c2cba22aa9c270a5cfe892c898a45
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,veto_mavs,feature_noise,0.4,shadow,2,2,114,114,2,bc85b450e90301084bc96921c4e54568ed14dd4e8372f4f1021e2e8009e18550
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,0.4,shadow,2,2,114,114,2,eb6cdd4d422227260d6f3a00fb811f95bafdf8bd1eb0575527a5dd4a31eab1b7
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,single_model,feature_noise,0.6,primary,3,3,171,0,3,ab5402a49a7604a5d13b8807d03de7965a4eb73167a7acb8be8b1af4c6d9fc34
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,mean_ensemble,feature_noise,0.6,primary,3,3,171,0,3,750b9089a65af41c46fe82814b0c5b72283fa0f566da91945d7f2c7fa5319751
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,static_weighted_ensemble,feature_noise,0.6,primary,3,3,171,0,3,f90559e3709ea1737df91b11e8fcfc36a56d64a26d168fd969ca51b7a473e3a1
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,veto_mavs,feature_noise,0.6,primary,3,3,171,171,3,6af1ecd36fe3409220297cfd3bab1e0f3b93fed0f3bff4440f920ac116f79e4c
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,0.6,primary,3,3,171,171,3,7432f0615152dbfeb489aabf0900441b51e9a4181a3f4dacbded400806e15659
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,single_model,feature_noise,0.6,shadow,2,2,114,0,2,1d5bfd25f79846f486771dcad6f14f96285d33e323894b677c072380ba8083db
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,mean_ensemble,feature_noise,0.6,shadow,2,2,114,0,2,f2689692641053ce69f2b5780698d4fb387658b66aceed5171029f4655e0b34b
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,static_weighted_ensemble,feature_noise,0.6,shadow,2,2,114,0,2,275b3c86c7811a686f223ef821f33f9cd18139c3c40083e2e5c203e61165242f
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,veto_mavs,feature_noise,0.6,shadow,2,2,114,114,2,e91a3e4521b9685998bc1ad15b8817cc47db13e31ad670b0ddcd3e8d31421626
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,0.6,shadow,2,2,114,114,2,2dc493786ccb038eb4477d10c894f09a9db595755b1094dc9aea5c616527bf49
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,single_model,feature_noise,0.8,primary,3,3,171,0,3,d639b14090ad7b8319413b0d1cd8354a3c56f886eba715c8d1468a0ebe012f90
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,mean_ensemble,feature_noise,0.8,primary,3,3,171,0,3,a1e2656fcb4bc7cf70af1ed5d5279b1581d7bc5708bafd2c55169f1525110e03
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,static_weighted_ensemble,feature_noise,0.8,primary,3,3,171,0,3,f9475ee49c2704b8d254265485db501ff2909dc4f4e172235945bf458d7410b1
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,veto_mavs,feature_noise,0.8,primary,3,3,171,171,3,90f031d1ba6be80fa1c5a974bb7e1f5f23d1c73e0c1aac2969a6748aca5536a8
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,0.8,primary,3,3,171,171,3,52e7f088fa16b5e4eb1c94487807ae9bd6334550ba43a983f3295069998d2a68
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,single_model,feature_noise,0.8,shadow,2,2,114,0,2,c01520f042bbd7622ecdd615f420e6d8943afc4610f73674ce7b9eabddfff526
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,mean_ensemble,feature_noise,0.8,shadow,2,2,114,0,2,17ef92efabf82592b557e85180509afad2a109e8f0c5582769ddd72edcb2603b
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,static_weighted_ensemble,feature_noise,0.8,shadow,2,2,114,0,2,1d5950bf8d0ca8effff41fec3092d7d82f1421d1f56710e7783c6bf7efee49bf
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,veto_mavs,feature_noise,0.8,shadow,2,2,114,114,2,ef2c8aebc54bedd133f36fd36428e7cee85b9be0f59a97a2428529906a1fc079
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,0.8,shadow,2,2,114,114,2,a2c1e76081b2a371c18825a38cd515c435c76d3f27f18b9fea0782303311db2e
