run_id,run_mode,split_label,split,dataset_id,system_id,corruption_family,corruption_level,seed_role,seed_count,system_run_count,prediction_rows,trace_rows,prediction_artifact_count,aggregate_hash
phase3_audit_full_v1,exploratory,audit,audit_benchmark,breast_cancer_wisconsin,veto_mavs,feature_noise,0.1,audit,3,3,87,87,3,7b73fbfef3715dcd0fd83662a373b29b02597395bb6609ad27e61c83fc655389
phase3_audit_full_v1,exploratory,audit,audit_benchmark,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,0.1,audit,3,3,87,87,3,ab20d8912ff7f07f0089a62e4092d5d01068c6d56dc4c4fff27de70e438c01ba
phase3_audit_full_v1,exploratory,audit,audit_benchmark,breast_cancer_wisconsin,single_model,feature_noise,0.1,shadow,2,2,58,0,2,19d920482fc2df9d921f95bfde31c0f62b1800772fa75d88309eb62c8c80ff41
phase3_audit_full_v1,exploratory,audit,audit_benchmark,breast_cancer_wisconsin,mean_ensemble,feature_noise,0.1,shadow,2,2,58,0,2,fa66ee485c88c983f06d48f40f1fc401696d23b80fd458ed71cf68ad1f8171b0
phase3_audit_full_v1,exploratory,audit,audit_benchmark,breast_cancer_wisconsin,static_weighted_ensemble,feature_noise,0.1,shadow,2,2,58,0,2,bcaf74c48fef96efe649ebf4c8d771a420c5274b732a312ec03b3527188ec93d
phase3_audit_full_v1,exploratory,audit,audit_benchmark,breast_cancer_wisconsin,veto_mavs,feature_noise,0.1,shadow,2,2,58,58,2,df8a10f09b069041fffe169d52901c029d100e7c3bec12d12a899aa7221b28e0
phase3_audit_full_v1,exploratory,audit,audit_benchmark,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,0.1,shadow,2,2,58,58,2,a776dcd84f7a1169cb0600a4af0a64d6ceb1136db2e62c1fffe78a3c9b6bdf6b
phase3_audit_full_v1,exploratory,audit,audit_benchmark,breast_cancer_wisconsin,single_model,feature_noise,0.2,audit,3,3,87,0,3,39bf706fee2e2c7f28981810f227d6e6c9661ddf4d3c266cbfdb8ec009f40907
phase3_audit_full_v1,exploratory,audit,audit_benchmark,breast_cancer_wisconsin,mean_ensemble,feature_noise,0.2,audit,3,3,87,0,3,e312c3c05526f8c9623a92204bc0788a95029e2778c74edd8538049dd0822419
phase3_audit_full_v1,exploratory,audit,audit_benchmark,breast_cancer_wisconsin,static_weighted_ensemble,feature_noise,0.2,audit,3,3,87,0,3,85dbc4de48df8a22ce75bbed16ea75dff16eef8b2460bc67ee7c72c59778024f
phase3_audit_full_v1,exploratory,audit,audit_benchmark,breast_cancer_wisconsin,veto_mavs,feature_noise,0.2,audit,3,3,87,87,3,eb7f741b74d9c0737dabd65d090ec6567a0eea96184c9e076ee829dc6b71d977
